,Unnamed: 0,League,Year,Season,Type,blueTeamTag,bResult,rResult,redTeamTag,gamelength,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,Address,Date
3075,3075,LCK,2017,Spring,Season,LZ,0,1,SKT,33,Expession,Ekko,Crash,Graves,Fly,Ryze,PraY,Ashe,GorillA,Lulu,Profit,Rumble,Peanut,Khazix,Faker,Cassiopeia,Bang,Lucian,Wolf,Nami,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140062?gameHash=e933ce05a049c963,3/22/2017
3076,3076,LCK,2017,Spring,Season,SKT,1,0,LZ,36,Profit,Nautilus,Peanut,LeeSin,Faker,Orianna,Bang,Lucian,Wolf,Nami,Expession,Maokai,Crash,Rengar,Fly,Vladimir,PraY,Ashe,GorillA,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140064?gameHash=b90ba3694037944a,3/22/2017
3077,3077,LCK,2017,Spring,Season,JAG,1,0,KDM,44,SoHwan,Jayce,Raise,Graves,Kuzan,Viktor,Teddy,Ashe,SnowFlower,Malzahar,Roach,Gragas,Punch,LeeSin,Edge,Orianna,SSol,Varus,GuGer,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140094?gameHash=f7d474f5ead80c6c,3/23/2017
3078,3078,LCK,2017,Spring,Season,KDM,1,0,JAG,32,Roach,Maokai,Punch,LeeSin,Edge,Orianna,SSol,Ashe,GuGer,Zyra,ikssu,Nautilus,Raise,Elise,Kuzan,Viktor,Teddy,Varus,SnowFlower,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140102?gameHash=f1c511f0de78f122,3/23/2017
3079,3079,LCK,2017,Spring,Season,JAG,1,0,KDM,39,SoHwan,Rumble,UmTi,Rengar,Kuzan,Corki,Teddy,Jhin,SnowFlower,TahmKench,Roach,Jayce,Punch,Elise,Edge,Taliyah,SSol,Varus,GuGer,Braum,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140104?gameHash=db618fc430d93eca,3/23/2017
3080,3080,LCK,2017,Spring,Season,AFs,1,0,bbq,26,MaRin,Gragas,Spirit,Elise,Kuro,Talon,Kramer,Varus,TusiN,Nami,Crazy,Maokai,Bless,Rengar,Tempt,Syndra,Ghost,Ashe,Totoro,Zyra,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140107?gameHash=1030cc0000d80604,3/23/2017
3081,3081,LCK,2017,Spring,Season,bbq,1,0,AFs,40,Crazy,Rumble,Bless,Elise,Tempt,Zed,Ghost,Jhin,Totoro,Zyra,MaRin,Fizz,Spirit,LeeSin,Kuro,Taliyah,Kramer,Varus,TusiN,Nami,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140118?gameHash=700cf54f3133436f,3/23/2017
3082,3082,LCK,2017,Spring,Season,AFs,1,0,bbq,37,MaRin,Nautilus,Spirit,Elise,Kuro,Talon,Kramer,Ezreal,TusiN,Lulu,Crazy,Maokai,Bless,RekSai,Tempt,Cassiopeia,Ghost,Jhin,Totoro,Braum,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140120?gameHash=b36a2e3074b9b454,3/23/2017
3083,3083,LCK,2017,Spring,Season,SSG,1,0,SKT,34,CuVee,Maokai,Haru,Graves,Crown,Ryze,Ruler,Ezreal,CoreJJ,Karma,Profit,Nautilus,Peanut,Elise,Faker,Talon,Bang,Ashe,Wolf,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/130222?gameHash=655ed7199e9e7290,3/25/2017
3084,3084,LCK,2017,Spring,Season,SKT,0,1,SSG,31,Profit,Shen,Peanut,Khazix,Faker,Ahri,Bang,Ashe,Wolf,Lulu,CuVee,Nautilus,Haru,Elise,Crown,Syndra,Ruler,Ezreal,CoreJJ,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/130256?gameHash=9d5f36a09aad9177,3/25/2017
3085,3085,LCK,2017,Spring,Season,MVP,1,0,ROX,38,ADD,Maokai,Beyond,Graves,Ian,Ahri,MaHa,Varus,Max,TahmKench,Shy,Renekton,Mightybear,Elise,Mickey,Taliyah,Sangyoon,Ashe,Key,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/130257?gameHash=6825cbeab7f156a6,3/25/2017
3086,3086,LCK,2017,Spring,Season,ROX,1,0,MVP,34,Shy,Shen,Mightybear,Rengar,Mickey,Talon,Sangyoon,Ezreal,Key,Zyra,ADD,Rumble,Beyond,Elise,Ian,Pantheon,MaHa,Ashe,Max,TahmKench,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/130295?gameHash=6c2c2a7b62df9578,3/25/2017
3087,3087,LCK,2017,Spring,Season,MVP,0,1,ROX,26,ADD,Nautilus,Beyond,Graves,Ian,Orianna,MaHa,KogMaw,Max,Zilean,Shy,Shen,Mightybear,Rengar,Mickey,TwistedFate,Sangyoon,Ashe,Key,Zyra,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/130299?gameHash=bd41dada0b6e9193,3/25/2017
3088,3088,LCK,2017,Spring,Season,AFs,1,0,LZ,30,MaRin,Nautilus,Spirit,Olaf,Kuro,Taliyah,Kramer,Jhin,TusiN,Thresh,Expession,Kennen,Crash,LeeSin,Fly,AurelionSol,PraY,Ashe,GorillA,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140353?gameHash=3585eaf0cd2c859b,3/26/2017
3089,3089,LCK,2017,Spring,Season,LZ,0,1,AFs,50,Expession,Shen,Crash,Khazix,Fly,Taliyah,PraY,Ashe,GorillA,Karma,MaRin,Gragas,Spirit,LeeSin,Kuro,Ahri,Kramer,Lucian,TusiN,Braum,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140363?gameHash=9a9c9f3e1dcacbce,3/26/2017
3090,3090,LCK,2017,Spring,Season,kt,0,1,KDM,35,Smeb,Maokai,Score,Graves,Pawn,Orianna,Deft,Varus,Mata,Alistar,Roach,Nautilus,Punch,Elise,Edge,Taliyah,SSol,Lucian,GuGer,Nami,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140364?gameHash=92f29cc2fb2b8f3a,3/26/2017
3091,3091,LCK,2017,Spring,Season,KDM,0,1,kt,38,Roach,Gragas,Punch,LeeSin,Edge,Orianna,SSol,Ezreal,GuGer,Zyra,Smeb,Nautilus,Score,Elise,Pawn,Syndra,Deft,Ashe,Mata,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140392?gameHash=4dc4b734e1b86b39,3/26/2017
3092,3092,LCK,2017,Spring,Season,kt,0,1,KDM,30,Smeb,Nautilus,Score,Khazix,Pawn,Syndra,Deft,Varus,Mata,Karma,Roach,Shen,Punch,LeeSin,Edge,Ahri,SSol,Ashe,GuGer,Zyra,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140394?gameHash=f415fa0835ec34cb,3/26/2017
3093,3093,LCK,2017,Spring,Season,KDM,1,0,bbq,40,Roach,Nautilus,Punch,Rengar,Edge,Syndra,SSol,Lucian,GuGer,Zyra,Crazy,Shen,Bless,Khazix,Tempt,Ahri,Ghost,Ashe,Totoro,MissFortune,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/130525?gameHash=986f74e88280d41e,3/28/2017
3094,3094,LCK,2017,Spring,Season,bbq,1,0,KDM,36,Crazy,Shen,Bless,Graves,Tempt,Cassiopeia,Ghost,Jhin,Totoro,Brand,Roach,Gragas,Punch,Elise,Edge,Syndra,SSol,Ashe,GuGer,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/130528?gameHash=ce6f93ec5735b31b,3/28/2017
3095,3095,LCK,2017,Spring,Season,KDM,0,1,bbq,62,Roach,Maokai,Punch,Elise,Edge,Taliyah,SSol,Lucian,GuGer,Lulu,Crazy,Fizz,Bless,Graves,Tempt,Cassiopeia,Ghost,Ezreal,Totoro,Nami,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/130531?gameHash=ec6d9e30cfd194b6,3/28/2017
3096,3096,LCK,2017,Spring,Season,JAG,0,1,AFs,30,SoHwan,Shen,UmTi,Graves,Kuzan,Vladimir,Teddy,Varus,SnowFlower,Thresh,MaRin,Kennen,Spirit,Elise,Kuro,Cassiopeia,Kramer,Lucian,TusiN,Nautilus,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/130535?gameHash=aa7de6943b151b84,3/28/2017
3097,3097,LCK,2017,Spring,Season,AFs,1,0,JAG,31,MaRin,Nautilus,Spirit,Khazix,Kuro,Ahri,Kramer,Lucian,TusiN,Lulu,ikssu,Maokai,Raise,Graves,Kuzan,Taliyah,Teddy,Ashe,SnowFlower,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/130549?gameHash=4565c8f3841f31aa,3/28/2017
3098,3098,LCK,2017,Spring,Season,ROX,0,1,SKT,33,Shy,Renekton,Mightybear,Rengar,Mickey,Talon,Sangyoon,Varus,Key,Zyra,Huni,Shen,Peanut,Graves,Faker,Cassiopeia,Bang,Ashe,Wolf,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/130593?gameHash=a0453a42a62ea40e,3/29/2017
3099,3099,LCK,2017,Spring,Season,SKT,0,1,ROX,33,Huni,Gragas,Peanut,Graves,Faker,Orianna,Bang,Ezreal,Wolf,Karma,Shy,Shen,Mightybear,Rengar,Mickey,Ahri,Sangyoon,Ashe,Key,Zyra,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/130616?gameHash=02028334d7d140fa,3/29/2017
