Champions,ban_pos,TeamBan,Date
Rumble,ban_1,blueBans,2015-01-24
Kassadin,ban_1,blueBans,2015-01-24
JarvanIV,ban_1,blueBans,2015-01-25
Annie,ban_1,blueBans,2015-01-25
Irelia,ban_1,blueBans,2015-01-25
LeeSin,ban_1,blueBans,2015-01-25
Zed,ban_1,blueBans,2015-01-25
Lissandra,ban_1,blueBans,2015-01-25
JarvanIV,ban_1,blueBans,2015-01-26
Rumble,ban_1,blueBans,2015-01-26
Irelia,ban_1,blueBans,2015-01-31
Janna,ban_1,blueBans,2015-01-31
Azir,ban_1,blueBans,2015-01-31
Azir,ban_1,blueBans,2015-02-01
Kassadin,ban_1,blueBans,2015-02-01
Annie,ban_1,blueBans,2015-02-01
Kalista,ban_1,blueBans,2015-02-01
Cassiopeia,ban_1,blueBans,2015-02-01
Irelia,ban_1,blueBans,2015-02-02
Zed,ban_1,blueBans,2015-02-02
Leblanc,ban_1,blueBans,2015-02-07
Nidalee,ban_1,blueBans,2015-02-07
Rumble,ban_1,blueBans,2015-02-07
Irelia,ban_1,blueBans,2015-02-08
Kalista,ban_1,blueBans,2015-02-08
Ahri,ban_1,blueBans,2015-02-08
Kassadin,ban_1,blueBans,2015-02-08
Thresh,ban_1,blueBans,2015-02-08
Zed,ban_1,blueBans,2015-02-09
Rumble,ban_1,blueBans,2015-02-09
Vi,ban_1,blueBans,2015-02-14
LeeSin,ban_1,blueBans,2015-02-14
Lissandra,ban_1,blueBans,2015-02-14
Annie,ban_1,blueBans,2015-02-15
Ahri,ban_1,blueBans,2015-02-15
Kalista,ban_1,blueBans,2015-02-15
Irelia,ban_1,blueBans,2015-02-15
Xerath,ban_1,blueBans,2015-02-15
Nidalee,ban_1,blueBans,2015-02-16
Irelia,ban_1,blueBans,2015-02-16
Kalista,ban_1,blueBans,2015-02-21
Vi,ban_1,blueBans,2015-02-21
Morgana,ban_1,blueBans,2015-02-21
Kalista,ban_1,blueBans,2015-02-22
Irelia,ban_1,blueBans,2015-02-22
Morgana,ban_1,blueBans,2015-02-22
Kalista,ban_1,blueBans,2015-02-22
Rumble,ban_1,blueBans,2015-02-22
Nidalee,ban_1,blueBans,2015-02-23
Maokai,ban_1,blueBans,2015-02-23
Kassadin,ban_1,blueBans,2015-02-28
Morgana,ban_1,blueBans,2015-02-28
Thresh,ban_1,blueBans,2015-02-28
Kassadin,ban_1,blueBans,2015-03-01
Zed,ban_1,blueBans,2015-03-01
Irelia,ban_1,blueBans,2015-03-01
Annie,ban_1,blueBans,2015-03-01
Veigar,ban_1,blueBans,2015-03-01
Kennen,ban_1,blueBans,2015-03-01
Rumble,ban_1,blueBans,2015-03-02
Nidalee,ban_1,blueBans,2015-03-07
Kalista,ban_1,blueBans,2015-03-07
Janna,ban_1,blueBans,2015-03-07
Nidalee,ban_1,blueBans,2015-03-08
Irelia,ban_1,blueBans,2015-03-08
Sivir,ban_1,blueBans,2015-03-08
Irelia,ban_1,blueBans,2015-03-08
LeeSin,ban_1,blueBans,2015-03-08
Kennen,ban_1,blueBans,2015-03-08
Morgana,ban_1,blueBans,2015-03-09
LeeSin,ban_1,blueBans,2015-03-21
Rumble,ban_1,blueBans,2015-03-21
Morgana,ban_1,blueBans,2015-03-21
Sivir,ban_1,blueBans,2015-03-21
Leblanc,ban_1,blueBans,2015-03-22
Maokai,ban_1,blueBans,2015-03-22
Hecarim,ban_1,blueBans,2015-03-22
Zed,ban_1,blueBans,2015-03-22
Maokai,ban_1,blueBans,2015-03-22
Kennen,ban_1,blueBans,2015-03-23
Nidalee,ban_1,blueBans,2015-03-28
Kalista,ban_1,blueBans,2015-03-28
Nunu,ban_1,blueBans,2015-03-28
Zed,ban_1,blueBans,2015-03-28
Hecarim,ban_1,blueBans,2015-03-29
Rengar,ban_1,blueBans,2015-03-29
Lulu,ban_1,blueBans,2015-03-29
Nidalee,ban_1,blueBans,2015-03-29
Nidalee,ban_1,blueBans,2015-03-30
Karthus,ban_1,blueBans,2015-03-30
Annie,ban_1,blueBans,2015-03-30
Lulu,ban_1,blueBans,2015-03-30
Leblanc,ban_1,blueBans,2015-05-30
,ban_1,blueBans,2015-05-30
Thresh,ban_1,blueBans,2015-05-30
Rumble,ban_1,blueBans,2015-05-31
Irelia,ban_1,blueBans,2015-05-31
Leblanc,ban_1,blueBans,2015-05-31
Leblanc,ban_1,blueBans,2015-05-31
Maokai,ban_1,blueBans,2015-05-31
Irelia,ban_1,blueBans,2015-06-01
,ban_1,blueBans,2015-06-01
Leblanc,ban_1,blueBans,2015-06-06
Hecarim,ban_1,blueBans,2015-06-06
Fizz,ban_1,blueBans,2015-06-06
Bard,ban_1,blueBans,2015-06-07
Evelynn,ban_1,blueBans,2015-06-07
Alistar,ban_1,blueBans,2015-06-07
Fizz,ban_1,blueBans,2015-06-07
Rumble,ban_1,blueBans,2015-06-07
Hecarim,ban_1,blueBans,2015-06-08
Alistar,ban_1,blueBans,2015-06-08
Leblanc,ban_1,blueBans,2015-06-13
Azir,ban_1,blueBans,2015-06-13
Rumble,ban_1,blueBans,2015-06-13
Kalista,ban_1,blueBans,2015-06-14
Leblanc,ban_1,blueBans,2015-06-14
Leblanc,ban_1,blueBans,2015-06-14
Nidalee,ban_1,blueBans,2015-06-14
Ekko,ban_1,blueBans,2015-06-14
Urgot,ban_1,blueBans,2015-06-15
Irelia,ban_1,blueBans,2015-06-15
Rumble,ban_1,blueBans,2015-06-20
,ban_1,blueBans,2015-06-20
Nidalee,ban_1,blueBans,2015-06-20
Irelia,ban_1,blueBans,2015-06-21
Gragas,ban_1,blueBans,2015-06-21
Nidalee,ban_1,blueBans,2015-06-21
Irelia,ban_1,blueBans,2015-06-21
Rumble,ban_1,blueBans,2015-06-21
Ekko,ban_1,blueBans,2015-06-22
KogMaw,ban_1,blueBans,2015-06-22
RekSai,ban_1,blueBans,2015-06-27
Alistar,ban_1,blueBans,2015-06-27
Irelia,ban_1,blueBans,2015-06-27
Alistar,ban_1,blueBans,2015-06-28
Gragas,ban_1,blueBans,2015-06-28
Azir,ban_1,blueBans,2015-06-28
RekSai,ban_1,blueBans,2015-06-28
Ekko,ban_1,blueBans,2015-06-28
Rumble,ban_1,blueBans,2015-06-29
Kassadin,ban_1,blueBans,2015-06-29
RekSai,ban_1,blueBans,2015-07-04
Rumble,ban_1,blueBans,2015-07-04
Sivir,ban_1,blueBans,2015-07-04
Urgot,ban_1,blueBans,2015-07-05
Azir,ban_1,blueBans,2015-07-05
Sivir,ban_1,blueBans,2015-07-05
Nautilus,ban_1,blueBans,2015-07-05
Urgot,ban_1,blueBans,2015-07-05
Gragas,ban_1,blueBans,2015-07-06
RekSai,ban_1,blueBans,2015-07-06
Vladimir,ban_1,blueBans,2015-07-11
Sivir,ban_1,blueBans,2015-07-11
Fizz,ban_1,blueBans,2015-07-11
Sivir,ban_1,blueBans,2015-07-11
RekSai,ban_1,blueBans,2015-07-12
Nidalee,ban_1,blueBans,2015-07-12
Annie,ban_1,blueBans,2015-07-12
Olaf,ban_1,blueBans,2015-07-12
Azir,ban_1,blueBans,2015-07-13
Sivir,ban_1,blueBans,2015-07-13
Nidalee,ban_1,blueBans,2015-07-18
Azir,ban_1,blueBans,2015-07-18
Azir,ban_1,blueBans,2015-07-18
Azir,ban_1,blueBans,2015-07-18
Annie,ban_1,blueBans,2015-07-19
Nidalee,ban_1,blueBans,2015-07-19
Alistar,ban_1,blueBans,2015-07-19
Azir,ban_1,blueBans,2015-07-19
Nidalee,ban_1,blueBans,2015-07-19
Urgot,ban_1,blueBans,2015-07-20
Azir,ban_1,blueBans,2015-07-25
Rumble,ban_1,blueBans,2015-07-25
TwistedFate,ban_1,blueBans,2015-07-25
Azir,ban_1,blueBans,2015-07-25
Rumble,ban_1,blueBans,2015-07-26
Alistar,ban_1,blueBans,2015-07-26
Nidalee,ban_1,blueBans,2015-07-26
Rumble,ban_1,blueBans,2015-07-26
Evelynn,ban_1,blueBans,2015-07-26
Nidalee,ban_1,blueBans,2015-07-27
Karma,ban_1,blueBans,2015-07-27
Rumble,ban_1,blueBans,2015-07-27
Olaf,ban_1,blueBans,2015-07-27
Morgana,ban_1,blueBans,2015-04-04
TwistedFate,ban_1,blueBans,2015-04-04
Morgana,ban_1,blueBans,2015-04-04
